service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"CA_GRAND_PERIGUEUX:Timetable:9",1,1,1,1,1,1,0,20251021,20260102
"CA_GRAND_PERIGUEUX:Timetable:8",0,0,1,0,0,0,0,20251105,20251217
"CA_GRAND_PERIGUEUX:Timetable:7",1,1,0,1,1,0,0,20251103,20251219
"CA_GRAND_PERIGUEUX:Timetable:6",1,1,1,1,1,0,0,20251103,20251219
"CA_GRAND_PERIGUEUX:Timetable:11",1,1,1,0,1,0,0,20251222,20260102
"CA_GRAND_PERIGUEUX:Timetable:5",0,0,0,0,0,1,0,20251108,20260103
"CA_GRAND_PERIGUEUX:Timetable:10",1,1,1,1,1,0,0,20251021,20251031
"CA_GRAND_PERIGUEUX:Timetable:3",0,0,0,0,0,1,0,20251025,20251025
"CA_GRAND_PERIGUEUX:Timetable:2",0,0,0,0,0,1,0,20251025,20260103
"CA_GRAND_PERIGUEUX:Timetable:1",0,0,0,0,0,0,1,20251102,20260104
