route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"CA_GRAND_PERIGUEUX:Line:100","CA_GRAND_PERIGUEUX:Operator:1","A","Ligne A",,3,,fdd003,000000,1
"CA_GRAND_PERIGUEUX:Line:102","CA_GRAND_PERIGUEUX:Operator:1","B","Ligne B",,3,,1e91ff,000000,2
"CA_GRAND_PERIGUEUX:Line:97","CA_GRAND_PERIGUEUX:Operator:1","C","Ligne C",,3,,dd1b75,000000,3
"CA_GRAND_PERIGUEUX:Line:101","CA_GRAND_PERIGUEUX:Operator:1","D","Ligne D",,3,,41ae18,ffffff,4
"CA_GRAND_PERIGUEUX:Line:159","CA_GRAND_PERIGUEUX:Operator:1","K1A","Ligne K1A",,3,,7aac7a,000000,5
"CA_GRAND_PERIGUEUX:Line:160","CA_GRAND_PERIGUEUX:Operator:1","K1B","Ligne K1B",,3,,01631e,ffffff,6
"CA_GRAND_PERIGUEUX:Line:104","CA_GRAND_PERIGUEUX:Operator:1","K2","Ligne K2",,3,,dd90dd,000000,7
"CA_GRAND_PERIGUEUX:Line:106","CA_GRAND_PERIGUEUX:Operator:1","K3A","Ligne K3A",,3,,c4a1e9,000000,8
"CA_GRAND_PERIGUEUX:Line:168","CA_GRAND_PERIGUEUX:Operator:1","K3B","Ligne K3B",,3,,9461ba,000000,9
"CA_GRAND_PERIGUEUX:Line:156","CA_GRAND_PERIGUEUX:Operator:1","K4A","ligne K4A",,3,,a8cddb,000000,10
"CA_GRAND_PERIGUEUX:Line:155","CA_GRAND_PERIGUEUX:Operator:1","K4B","ligne K4B",,3,,a2a6a6,000000,11
"CA_GRAND_PERIGUEUX:Line:151","CA_GRAND_PERIGUEUX:Operator:1","K5","Ligne K5",,3,,c9c07b,000000,12
"CA_GRAND_PERIGUEUX:Line:167","CA_GRAND_PERIGUEUX:Operator:1","K6","Ligne K6",,3,,e04f07,000000,13
"CA_GRAND_PERIGUEUX:Line:135","CA_GRAND_PERIGUEUX:Operator:1","N","Navette centre ville",,3,,2254b2,ffffff,14
"CA_GRAND_PERIGUEUX:Line:5","CA_GRAND_PERIGUEUX:Operator:1","P01","Ligne P01",,712,,b00000,ffffff,15
"CA_GRAND_PERIGUEUX:Line:7","CA_GRAND_PERIGUEUX:Operator:1","P02","Ligne P02",,712,,b07300,ffffff,16
"CA_GRAND_PERIGUEUX:Line:8","CA_GRAND_PERIGUEUX:Operator:1","P03","Ligne P03",,712,,b0b000,000000,17
"CA_GRAND_PERIGUEUX:Line:18","CA_GRAND_PERIGUEUX:Operator:1","P05","Ligne P05",,712,,00b0b0,000000,18
"CA_GRAND_PERIGUEUX:Line:19","CA_GRAND_PERIGUEUX:Operator:1","P06","Ligne P06",,712,,0000b0,ffffff,19
"CA_GRAND_PERIGUEUX:Line:20","CA_GRAND_PERIGUEUX:Operator:1","P07","Ligne P07",,712,,b000b0,000000,20
"CA_GRAND_PERIGUEUX:Line:21","CA_GRAND_PERIGUEUX:Operator:1","P08","Ligne P08",,712,,414141,ffffff,21
"CA_GRAND_PERIGUEUX:Line:22","CA_GRAND_PERIGUEUX:Operator:1","P09","Ligne P09",,712,,ff0000,ffffff,22
"CA_GRAND_PERIGUEUX:Line:28","CA_GRAND_PERIGUEUX:Operator:1","P10","Ligne P10",,712,,ffa700,000000,23
"CA_GRAND_PERIGUEUX:Line:33","CA_GRAND_PERIGUEUX:Operator:1","P12","Ligne P12",,712,,00ffff,000000,24
"CA_GRAND_PERIGUEUX:Line:34","CA_GRAND_PERIGUEUX:Operator:1","P13","Ligne P13",,712,,0000ff,ffffff,25
"CA_GRAND_PERIGUEUX:Line:82","CA_GRAND_PERIGUEUX:Operator:1","P14","Ligne P14",,712,,2eace7,000000,26
"CA_GRAND_PERIGUEUX:Line:83","CA_GRAND_PERIGUEUX:Operator:1","P15","Ligne P15",,712,,e10f0f,ffffff,27
"CA_GRAND_PERIGUEUX:Line:84","CA_GRAND_PERIGUEUX:Operator:1","P16","Ligne P16",,712,,18e2df,000000,28
"CA_GRAND_PERIGUEUX:Line:94","CA_GRAND_PERIGUEUX:Operator:1","P171","Ligne P17-1",,712,,0d9364,ffffff,29
"CA_GRAND_PERIGUEUX:Line:95","CA_GRAND_PERIGUEUX:Operator:1","P172","Ligne P17-2",,712,,c01616,ffffff,30
"CA_GRAND_PERIGUEUX:Line:107","CA_GRAND_PERIGUEUX:Operator:1","R1","Ligne R1",,3,,107f73,ffffff,31
"CA_GRAND_PERIGUEUX:Line:126","CA_GRAND_PERIGUEUX:Operator:1","R10","Ligne R10",,3,,107f73,ffffff,32
"CA_GRAND_PERIGUEUX:Line:127","CA_GRAND_PERIGUEUX:Operator:1","R11","Ligne R11",,3,,107f73,ffffff,33
"CA_GRAND_PERIGUEUX:Line:153","CA_GRAND_PERIGUEUX:Operator:1","R12","Ligne R12",,3,,107f73,ffffff,34
"CA_GRAND_PERIGUEUX:Line:158","CA_GRAND_PERIGUEUX:Operator:1","R13","Ligne R13",,3,,107f73,ffffff,35
"CA_GRAND_PERIGUEUX:Line:164","CA_GRAND_PERIGUEUX:Operator:1","R14","Ligne R14",,3,,107f73,ffffff,36
"CA_GRAND_PERIGUEUX:Line:162","CA_GRAND_PERIGUEUX:Operator:1","R15","Ligne R15",,3,,107f73,ffffff,37
