stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:77324",,"Annesse et Beaulieu bourg",,,45.173286,0.591609,"",,1,,,2,,
"MOBIITI:StopPlace:77202",,"Lespinasse Haute",,,45.197544,0.639856,,,1,,,2,,
"MOBIITI:StopPlace:77445",,"Les Andrieux",,,45.145409,0.665576,,,1,,,2,,
"MOBIITI:StopPlace:77325",,"Mensignac bourg",,,45.225239,0.560949,"",,1,,,2,,
"MOBIITI:StopPlace:77201",,"Chem. de Lespinasse",,,45.196728,0.643757,,,1,,,2,,
"MOBIITI:StopPlace:77322",,"Porte Corgne",,,45.131187,0.799896,,,1,,,2,,
"MOBIITI:StopPlace:77204",,"Curille",,,45.206787,0.661239,,,1,,,2,,
"MOBIITI:StopPlace:77323",,"la Croix Blanche",,,45.221416,0.553694,"",,1,,,2,,
"MOBIITI:StopPlace:77203",,"Al. des Sports",,,45.192696,0.647572,,,1,,,2,,
"MOBIITI:StopPlace:77444",,"Place du Cerf",,,45.145157,0.690422,,,1,,,2,,
"MOBIITI:StopPlace:77320",,"Le Poureix",,,45.126301,0.797166,,,1,,,2,,
"MOBIITI:StopPlace:77441",,"Les Eglantiers Hauts",,,45.152164,0.688925,,,1,,,2,,
"MOBIITI:StopPlace:77321",,"ZA Grand Font",,,45.152435,0.789280,,,1,,,2,,
"MOBIITI:StopPlace:77200",,"Chancelade Lespinasse",,,45.195740,0.638363,,,1,,,2,,
"MOBIITI:StopPlace:77440",,"Ecole Joliot Curie",,,45.184425,0.745740,,,1,,,2,,
"MOBIITI:StopPlace:77209",,"Le Ligonat",,,45.219406,0.648135,,,1,,,2,,
"MOBIITI:StopPlace:77206",,"Chem. de Terrassonnie",,,45.205956,0.650522,,,1,,,2,,
"MOBIITI:StopPlace:77449",,"Sorges - Les 4 routes",,,45.268536,0.833455,,,1,,,2,,
"MOBIITI:StopPlace:77328",,"Trésorerie Municipale",,,45.180252,0.711794,,,1,,,2,,
"MOBIITI:StopPlace:77205",,"Al. des Bois",,,45.205803,0.665981,,,1,,,2,,
"MOBIITI:StopPlace:77329",,"Les Crouchaux",,,45.148388,0.690536,,,1,,,2,,
"MOBIITI:StopPlace:77326",,"La Chapelle Gonaguet - Bourg",,,45.231003,0.612555,"",,1,,,2,,
"MOBIITI:StopPlace:77208",,"Majourdin",,,45.198509,0.649979,,,1,,,2,,
"MOBIITI:StopPlace:77447",,"Sorges - Le Clapier",,,45.300648,0.860647,,,1,,,2,,
"MOBIITI:StopPlace:77207",,"Terrassonnie Village",,,45.204174,0.644107,,,1,,,2,,
"MOBIITI:StopPlace:77448",,"Sorges - Les Palissous",,,45.308674,0.865032,,,1,,,2,,
"MOBIITI:StopPlace:77327",,"Pôle Interconsulaire",,,45.144943,0.698063,,,1,,,2,,
"MOBIITI:StopPlace:77335",,"Les Prés",,,45.187283,0.730164,,,1,,,2,,
"MOBIITI:StopPlace:77213",,"Puy Ferrat",,,45.209705,0.679399,,,1,,,2,,
"MOBIITI:StopPlace:77456",,"Sorges - Les Potences 2",,,45.259571,0.819953,,,1,,,2,,
